¿Ã∏ß,√π ∞°¿‘ ¿œ¿⁄,¿ÃøÎ «¡∑Œ±◊∑•,Ω√¿€ ¿œ¿⁄,∏∏∑· ¿œ¿⁄
»¶∑Œ1,2023-03-30,Electricity,2023-03-30,2023-04-30
»¶∑Œ1,2023-03-30,Electricity2,2023-03-30,2023-04-30
»¶∑Œ1,2023-03-30,New_program,2023-03-30,2023-04-30
»¶∑Œ2,2023-03-30,Electricity,2023-03-30,2023-04-30
»¶∑Œ2,2023-03-30,Electricity2,2023-03-30,2023-04-30
»¶∑Œ2,2023-03-30,New_program,2023-03-30,2023-04-30
»¶∑Œ3,2023-03-30,Electricity,2023-03-30,2023-04-30
»¶∑Œ3,2023-03-30,Electricity2,2023-03-30,2023-04-30
»¶∑Œ3,2023-03-30,New_program,2023-03-30,2023-04-30
»¶∑Œ4,2023-03-30,Electricity,2023-03-30,2023-04-30
»¶∑Œ4,2023-03-30,Electricity2,2023-03-30,2023-04-30
»¶∑Œ4,2023-03-30,New_program,2023-03-30,2023-04-30
